name,bus,marginal_cost,capacity,storage_capacity,type,carrier,edges_parameters
BB_pp_SG_LSD_D14,BB_bus_el,28.95,26,,dispatchable,,
BB_pp_SG_MSD_D17,BB_bus_el,18,17.1,,dispatchable,,
BB_pp_WTE_combustion,BB_bus_el,20,13.5,,dispatchable,,
BB_pp_GR_SCGT_GT02,BB_bus_el,10000,20,,dispatchable,,
BB_pp_SW_SCGT_GT03,BB_bus_el,34.86,13,,dispatchable,,
BB_pp_bagasse,BB_bus_el,18,25,,dispatchable,biomass,"{""summed_max"": 4599}"
BB_pp_anaerobic_digestion,BB_bus_el,15,12,,dispatchable,,
BB_storage_pumped_hydro,BB_bus_el,0.001,150,3000,storage,water,
BB_pp_SW_SCGT_GT06,BB_bus_el,104.65,20,,dispatchable,,
BB_excess,BB_bus_el,0,,,excess,electricity,
BB_shortage,BB_bus_el,10000,100000,,shortage,electricity,
