class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_diesel ,GL_resource_diesel ,GL_bus_diesel ,,,,,,,,68.471,,,,,,,,,
Source,GL_resource_HFO,GL_resource_HFO,GL_bus_HFO,,,,,,,,49.502,,,,,,,,,
Source,GL_resource_biomass_bagasse_river_tam,GL_resource_biomass_bagasse_river tam,GL_bus_biomass_bagasse_river tam,,,,,,,,3.19,,,,,,,,,
Source,GL_resource_gasoline,GL_resource_gasoline,GL_bus_gasoline,,,,,,,,69.471,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### BB,,,,,,,,,,,,,,,,,,,,
Sink,BB_excess,BB_bus_el,BB_excess,,,,,,,,0.00000001,,,,,,,,,
Source,BB_shortage,BB_shortage,BB_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,BB_pp_GT02,GL_bus_diesel ,BB_pp_GT02,,,,,,,,,,,,,,,,,
LinearTransformer,BB_pp_GT02,BB_pp_GT02,BB_bus_el,0.23,11,,0.57,,,53.64,65.04,,,,,,,,,
LinearTransformer,BB_pp_MSD,GL_bus_HFO,BB_pp_MSD,,,,,,,,,,,,,,,,,
LinearTransformer,BB_pp_MSD,BB_pp_MSD,BB_bus_el,0.33,33,,0.839,,,,12.68,,,,,,,,,
LinearTransformer,BB_pp_LSD,GL_bus_HFO,BB_pp_LSD,,,,,,,,,,,,,,,,,
LinearTransformer,BB_pp_LSD,BB_pp_LSD,BB_bus_el,0.44,78,,0.877,,,416,28.68,,,,,,,,,
LinearTransformer,BB_pp_biomass_bagasse_river_tam,GL_bus_biomass_bagasse_river_tam,BB_pp_biomass_bagasse_river_tam,,,,,,,,,,,,,,,,,
LinearTransformer,BB_pp_biomass_bagasse_river_tam,BB_pp_biomass_bagasse_river_tam,BB_bus_el,0.38,18,,,120000,,200,15,,,,,,,,,
Source,BB_utility_scale_wind,BB_utility_scale_wind,BB_bus_el,,155,,0.76,,seq,138,1,TRUE,,,,,,,,
Source,BB_utility_scale_solar,BB_utility_scale_solar,BB_bus_el,,110,,0.213,,seq,38,1,TRUE,,,,,,,,
Source,BB_distributed_scale_solar ,BB_distributed_scale_solar ,BB_bus_el,,45,,0.1786,,seq,52,1,TRUE,,,,,,,,
Storage,BB_storage_battery_lithium_ion,BB_storage_battery_lithium_ion,BB_bus_el,,155,,,,,,0,,,,,,,,,
Storage,BB_storage_battery_lithium_ion,BB_bus_el,BB_storage_battery_lithium_ion,,155,,,,,,0,,150,0,0.975,0.975,0.5,0,1,
Storage,BB_storage_pumped_hydro,BB_storage_pumped_hydro,BB_bus_el,,0.0000001,,,,,,0,,,,,,,,,
Storage,BB_storage_pumped_hydro,BB_bus_el,BB_storage_pumped_hydro,,0.0000001,,,,,,0,,3000,0,0.894,0.894,0.5,0,1,
Sink,BB_load,BB_bus_el,BB_load,,182.8414634146,,,,seq,,,True,,,,,,,,
